idPelicula,idPlataforma,precio,fechaAlta
12,4,18.08,2025-11-01
249,1,13.24,2022-07-30
223,1,12.93,2020-10-12
324,1,5.18,2025-02-28
484,2,12.95,2023-11-20
219,2,16.76,2023-05-09
53,2,18.15,2022-11-09
426,4,6.64,2022-03-31
74,1,12.78,2025-12-06
159,1,9.43,2024-09-14
443,3,9.92,2024-06-30
405,4,9.57,2021-07-28
78,1,8.92,2022-01-06
140,4,18.67,2021-10-12
299,4,13.14,2021-02-07
335,4,13.3,2023-05-06
329,2,16.44,2020-10-08
224,1,14.12,2021-04-16
254,2,13.66,2024-08-21
327,2,11.36,2025-03-08
448,3,17.82,2024-03-20
476,2,6.13,2020-04-30
231,2,6.87,2021-08-06
289,3,4.47,2023-12-07
40,1,17.41,2025-05-09
31,4,3.82,2021-05-26
96,2,12.43,2022-01-17
27,3,9.12,2023-08-04
186,2,9.83,2022-02-23
293,1,6.09,2020-09-16
338,1,18.35,2021-06-17
404,3,4.91,2025-05-13
454,3,5.62,2025-09-26
161,3,18.61,2025-01-08
140,1,17.67,2023-08-19
168,3,7.4,2024-08-08
444,3,19.87,2022-02-26
429,3,19.3,2024-12-23
21,1,5.06,2021-12-30
436,1,11.75,2023-05-06
482,1,18.5,2023-12-12
344,1,12.65,2023-10-01
347,1,8.54,2022-07-02
341,3,19.34,2024-02-28
145,1,13.31,2022-07-17
120,3,5.14,2025-04-14
98,1,9.62,2025-09-24
348,4,19.84,2023-07-06
16,1,8.2,2024-12-10
422,2,14.9,2025-03-25
89,3,5.07,2020-01-20
92,1,8.75,2023-02-13
310,2,12.61,2021-06-03
449,1,9.51,2020-09-03
489,2,3.94,2023-12-27
58,2,11.97,2022-12-28
33,1,5.83,2020-07-21
484,4,8.15,2022-01-02
132,4,10.44,2022-09-14
338,4,9.92,2022-06-21
75,2,16.94,2023-10-08
446,2,19.67,2024-06-09
296,4,12.47,2025-06-10
42,1,18.91,2025-08-19
341,1,10.71,2021-05-26
150,2,11.45,2023-11-19
339,3,7.85,2022-09-19
42,3,19.45,2022-09-16
462,3,11.28,2021-04-22
471,3,8.04,2025-09-05
154,3,18.42,2020-02-20
86,2,3.16,2024-11-07
29,3,6.07,2024-03-25
357,4,9.7,2022-09-29
125,4,9.79,2022-05-19
56,1,18.98,2024-08-18
99,1,11.43,2021-12-17
178,1,3.78,2020-06-09
107,3,3.07,2020-07-04
204,2,6.91,2025-04-12
190,2,12.43,2022-07-19
246,4,17.26,2023-08-23
413,1,16.73,2021-08-17
466,3,5.77,2021-07-04
55,1,16.51,2021-01-21
221,4,8.93,2024-07-14
459,2,8.49,2022-01-03
480,3,9.15,2023-06-04
499,1,4.68,2022-08-10
37,1,18.36,2022-06-26
37,4,18.59,2023-04-18
28,4,12.17,2022-11-17
106,1,15.83,2024-06-27
261,2,3.82,2023-05-18
22,1,12.44,2025-02-04
60,1,8.69,2022-10-18
221,2,11.4,2021-06-18
23,2,6.58,2021-02-07
170,3,11.13,2020-06-18
283,4,11.72,2024-01-03
243,1,7.44,2023-12-31
107,4,13.01,2022-01-17
177,3,9.89,2020-01-25
167,3,5.31,2020-07-20
132,2,5.42,2024-02-02
289,2,10.69,2020-01-27
94,3,3.65,2021-08-10
482,2,12.55,2022-12-28
196,3,10.1,2020-05-28
66,1,15.83,2022-11-30
179,2,10.05,2020-11-06
23,4,10.58,2022-11-08
460,1,9.55,2024-12-25
254,1,6.56,2022-07-02
67,2,9.3,2022-08-27
265,1,16.55,2024-10-13
49,3,9.03,2022-03-25
170,4,9.14,2022-08-31
282,4,6.12,2021-11-11
178,3,10.89,2024-02-21
231,4,10.57,2025-03-05
17,2,15.73,2025-10-03
359,3,8.33,2023-11-26
346,2,13.49,2023-12-14
349,4,17.54,2025-01-11
333,1,5.53,2020-02-26
326,3,6.97,2025-05-22
235,2,19.48,2020-09-05
247,4,18.07,2023-01-15
375,1,17.87,2025-09-17
72,4,12.37,2023-10-30
420,4,12.1,2020-11-15
25,3,12.14,2024-12-31
349,3,16.1,2020-07-23
30,1,7.65,2025-02-16
118,3,13.81,2021-05-23
161,4,17.61,2021-07-25
276,3,11.14,2024-07-24
477,3,7.64,2025-04-23
146,3,14.56,2022-02-16
9,3,15.35,2022-12-03
428,4,19.77,2020-12-17
467,2,7.93,2020-01-26
135,1,14.58,2023-03-08
124,2,9.91,2024-08-23
87,2,10.3,2020-03-20
88,1,17.22,2024-11-19
181,4,7.92,2021-11-10
292,4,16.1,2024-04-03
489,1,8.63,2023-01-29
91,1,12.26,2021-09-05
222,4,8.06,2020-06-02
415,3,5.18,2023-10-22
21,4,12.38,2024-04-11
218,1,17.32,2023-02-08
440,4,18.11,2023-02-14
433,2,6.23,2025-08-19
320,3,7.2,2022-09-28
415,4,5.2,2022-11-30
26,4,5.41,2020-12-12
225,1,4.32,2024-05-12
259,1,12.36,2023-05-01
462,2,4.27,2025-03-02
110,3,4.41,2023-01-31
311,3,18.1,2024-07-05
180,2,6.47,2023-06-16
131,4,14.03,2025-06-18
378,3,5.21,2021-11-20
59,3,10.97,2023-07-15
154,1,18.72,2020-08-25
258,4,14.43,2020-01-28
259,2,4.68,2020-09-17
66,4,12.72,2025-03-13
214,2,14.56,2023-07-27
420,2,4.82,2022-03-02
370,1,17.89,2021-03-26
330,2,10.05,2020-10-05
391,2,7.59,2023-10-21
6,3,7.24,2022-01-19
227,3,8.28,2023-12-15
266,3,16.06,2020-07-28
195,2,8.89,2020-12-24
373,3,8.18,2024-08-29
406,4,8.31,2025-05-02
469,2,12.21,2023-11-03
174,2,10.77,2020-01-01
457,3,4.96,2024-11-21
147,4,18.53,2023-10-06
217,1,16.11,2022-03-18
444,1,16.05,2024-07-13
65,2,5.44,2023-08-10
468,4,12.85,2021-03-19
101,4,4.31,2024-04-12
368,1,11.23,2025-01-30
492,1,16.56,2020-07-06
356,4,8.53,2023-08-24
27,4,10.36,2024-10-10
77,1,19.7,2020-10-07
201,1,17.64,2024-03-24
330,1,15.41,2024-11-07
463,2,3.59,2022-10-21
119,4,4.77,2021-10-25
82,1,14.32,2023-02-24
235,1,18.88,2023-04-29
298,4,12.8,2020-05-29
125,3,5.2,2023-02-22
284,2,6.31,2024-05-10
152,2,8.3,2024-08-31
458,2,7.78,2025-08-21
396,2,17.32,2024-05-10
308,4,5.93,2022-01-29
83,3,7.44,2021-08-20
25,4,15.72,2024-01-26
68,3,9.08,2024-03-15
436,2,9.85,2025-05-12
92,3,12.74,2024-02-19
307,3,16.02,2025-01-30
61,4,5.06,2025-06-25
265,3,12.71,2025-05-23
225,3,17.96,2024-07-20
121,3,18.44,2022-12-24
412,4,10.62,2025-07-23
16,2,12.26,2020-02-27
424,1,4.3,2024-03-16
309,3,11.11,2023-01-16
401,4,16.69,2022-02-15
159,4,5.81,2021-11-15
487,3,10.11,2024-03-21
362,4,17.02,2020-07-15
332,2,9.38,2025-06-16
76,3,18.19,2025-09-28
216,2,7.56,2025-09-17
350,3,18.1,2021-02-06
475,2,11.05,2024-07-04
257,2,4.01,2023-06-19
367,1,3.13,2025-06-22
294,2,3.09,2022-02-06
472,3,11.01,2023-08-31
130,2,13.22,2024-02-29
108,4,18.9,2021-11-25
76,4,17.84,2021-05-16
144,2,12.26,2020-12-24
318,1,10.56,2020-08-19
52,4,11.15,2025-07-01
102,3,12.3,2022-03-04
35,1,3.77,2022-04-28
497,2,19.65,2024-10-14
293,4,10.47,2021-02-13
392,3,19.87,2021-06-06
202,1,17.92,2022-05-05
220,1,12.3,2023-01-03
117,1,18.33,2022-10-27
375,4,8.5,2025-01-23
112,3,5.36,2021-01-30
379,3,16.97,2024-12-19
390,2,14.23,2024-03-15
395,1,6.89,2020-12-04
279,2,19.51,2025-08-14
496,2,9.13,2022-12-26
62,3,4.2,2022-08-30
269,1,11.25,2022-01-07
39,1,4.29,2024-10-26
498,2,16.54,2024-07-18
416,3,9.96,2025-05-02
140,3,8.79,2022-01-18
51,2,8.79,2024-12-15
36,3,17.13,2020-06-07
54,3,7.32,2020-06-24
189,3,5.76,2022-07-05
138,1,5.73,2023-09-17
189,4,8.8,2024-10-05
102,1,11.91,2020-05-03
228,4,19.48,2024-01-08
428,3,5.09,2022-09-09
363,1,13.69,2024-06-18
257,1,15.52,2023-12-02
170,2,18.87,2020-02-18
71,2,14.36,2021-10-25
6,4,18.37,2025-02-25
265,4,16.37,2020-06-26
215,4,19.66,2021-05-02
166,2,8.92,2022-07-27
154,2,16.76,2023-01-03
175,4,12.45,2024-05-15
447,2,16.45,2023-02-18
424,3,15.32,2022-05-31
378,4,11.55,2025-01-23
77,2,8.76,2023-05-28
406,3,18.13,2020-12-06
71,1,15.16,2023-03-22
324,3,13.61,2025-05-16
470,3,7.12,2022-04-24
406,1,9.41,2023-04-10
147,3,4.07,2022-04-22
235,3,4.83,2023-09-19
427,2,3.29,2020-08-22
365,2,3.09,2021-06-12
342,2,18.49,2021-12-08
292,2,19.12,2025-10-07
100,4,3.64,2024-05-08
270,2,3.67,2024-01-24
434,4,12.57,2023-04-24
34,1,17.31,2024-06-10
22,4,4.3,2023-07-08
291,2,14.05,2021-01-04
289,1,13.3,2022-04-23
403,4,5.93,2022-01-02
41,1,12.38,2023-07-13
409,2,13.91,2020-03-13
2,3,19.87,2024-04-29
304,2,17.62,2023-02-06
317,3,16.92,2024-02-13
291,4,19.03,2020-06-22
352,3,4.34,2022-07-15
9,1,3.65,2021-07-21
465,4,8.14,2020-01-03
136,1,18.02,2022-09-11
188,4,10.2,2021-11-07
253,1,3.52,2022-08-09
264,1,12.99,2022-10-24
196,1,6.76,2022-10-01
130,1,11.25,2020-10-04
337,3,6.44,2025-08-09
242,1,11.99,2020-03-25
486,1,14.8,2023-02-05
328,3,17.2,2020-05-28
3,4,4.89,2020-06-03
355,1,10.06,2023-02-15
67,1,8.63,2024-01-30
430,2,9.09,2022-07-24
411,4,6.56,2020-02-25
374,1,7.82,2021-03-28
174,3,11.25,2025-07-06
178,2,19.65,2023-11-06
109,4,13.99,2024-03-26
396,1,17.99,2022-06-20
447,1,10.67,2025-09-04
206,4,10.95,2025-01-13
306,2,3.63,2023-08-25
370,2,15.13,2023-03-03
311,2,18.89,2024-08-21
454,2,9.68,2023-02-28
355,4,9.94,2023-12-25
295,3,9.35,2022-03-19
128,3,10.78,2022-05-06
175,3,10.63,2021-03-27
232,1,5.95,2023-04-25
106,2,11.15,2020-07-19
381,2,14.25,2020-05-05
457,4,16.78,2022-09-06
277,1,13.3,2023-07-29
371,1,9.98,2021-04-25
27,2,6.1,2020-12-16
213,3,7.9,2025-06-17
175,1,8.79,2023-07-14
371,3,13.1,2020-09-15
20,2,12.71,2025-04-29
149,2,15.16,2025-04-16
97,2,13.24,2022-07-25
361,4,12.56,2021-05-02
139,4,10.54,2022-02-20
300,2,9.76,2020-06-18
441,1,8.91,2023-03-10
193,3,5.18,2025-05-01
452,2,14.13,2022-08-11
288,4,15.54,2020-04-19
336,3,8.69,2022-12-10
381,3,13.5,2020-08-06
19,4,3.88,2024-08-20
137,1,7.54,2024-08-07
446,1,4.56,2024-05-13
43,4,15.69,2023-12-15
360,1,13.22,2020-11-27
102,4,15.61,2025-09-10
331,2,9.22,2024-07-23
29,1,15.02,2020-07-22
61,3,15.93,2020-06-23
293,2,14.81,2024-02-08
186,3,15.86,2020-04-22
249,2,16.36,2021-06-17
491,2,8.95,2024-05-14
1,1,4.69,2020-05-21
353,3,4.85,2024-03-23
452,1,6.1,2025-05-06
449,4,10.11,2025-08-15
281,2,9.08,2023-03-24
478,2,5.43,2021-07-19
275,4,3.45,2023-08-02
252,2,15.93,2023-07-12
462,1,10.43,2025-03-24
85,3,4.44,2020-12-23
285,1,18.72,2020-01-17
461,3,12.54,2021-06-12
81,4,5.73,2025-01-08
139,3,19.93,2020-01-04
160,3,5.06,2021-11-28
335,2,12.66,2020-08-16
331,1,5.89,2023-08-13
321,4,9.28,2020-03-10
156,4,18.66,2022-01-20
262,4,4.08,2020-11-08
290,1,3.32,2023-08-22
46,4,7.82,2021-07-20
250,3,3.01,2020-01-15
475,4,8.65,2020-08-25
274,3,16.16,2023-08-14
294,3,17.56,2025-08-15
200,2,13.24,2025-01-11
309,2,15.16,2023-05-20
337,1,18.83,2025-10-10
365,3,10.03,2020-09-14
139,1,6.38,2025-06-07
118,1,6.87,2021-06-13
178,4,9.01,2020-01-03
14,1,15.75,2025-02-20
386,1,9.65,2022-12-13
103,4,9.08,2025-06-08
49,4,12.55,2021-10-10
499,3,10.83,2020-11-11
290,3,9.38,2023-12-18
487,1,17.36,2024-06-08
71,4,13.61,2022-05-14
416,2,16.93,2021-08-11
236,2,17.25,2020-09-15
194,2,17.39,2023-01-20
348,1,16.68,2023-05-03
302,2,13.59,2021-08-28
479,3,4.43,2022-05-24
498,3,11.72,2025-09-07
474,4,14.87,2024-04-26
188,1,3.5,2021-09-16
415,2,4.01,2023-03-20
112,4,8.86,2025-07-06
257,4,9.2,2020-02-09
2,2,3.08,2020-05-28
434,1,10.72,2022-07-02
4,2,4.48,2023-12-05
128,1,18.74,2023-12-12
210,4,5.27,2020-10-05
341,2,6.88,2022-04-25
420,3,17.59,2021-10-08
328,4,16.27,2020-10-24
302,4,6.53,2023-01-25
253,2,18.73,2020-08-18
304,1,3.45,2024-03-22
431,2,3.43,2021-09-05
308,2,9.8,2023-02-09
330,4,12.12,2021-09-16
427,3,18.21,2024-10-16
415,1,14.65,2022-08-18
118,4,6.36,2021-03-04
24,2,11.94,2025-01-23
315,3,16.3,2021-06-08
339,2,11.72,2025-08-10
51,4,5.66,2021-12-18
355,3,7.49,2024-07-12
354,2,4.27,2025-08-01
60,2,10.16,2025-01-04
419,2,10.13,2020-06-07
146,1,16.31,2024-12-30
93,4,11.55,2021-03-10
23,1,3.53,2024-09-06
107,1,12.83,2025-09-11
19,1,3.64,2023-08-11
52,1,10.68,2024-10-02
359,2,7.54,2020-06-16
423,1,4.51,2021-03-21
231,1,8.01,2025-06-02
227,4,7.03,2024-05-19
467,4,17.49,2022-05-27
314,4,6.82,2021-11-29
365,1,19.08,2022-07-03
395,3,19.3,2024-02-03
270,3,17.23,2022-01-02
382,1,19.26,2025-03-06
69,1,14.81,2024-11-06
90,2,18.07,2025-06-11
50,3,9.58,2022-03-14
455,4,8.11,2020-04-26
355,2,7.01,2022-08-07
13,4,8.06,2024-10-29
284,3,4.63,2025-09-20
144,3,10.53,2020-10-17
12,1,12.65,2020-09-12
443,2,17.47,2022-09-26
455,2,4.28,2023-02-03
109,2,3.52,2022-07-15
277,2,3.7,2023-11-02
239,4,19.88,2023-11-25
99,2,3.28,2021-01-02
80,1,5.38,2025-03-05
301,2,19.69,2020-03-01
195,3,13.81,2024-07-17
198,1,19.74,2024-01-13
432,1,4.77,2020-04-20
456,3,4.9,2020-05-20
353,1,17.5,2020-05-06
495,1,9.9,2021-08-12
250,2,7.84,2024-08-05
425,2,5.23,2023-04-17
202,3,15.34,2025-03-18
454,1,9.41,2021-08-12
322,4,18.84,2023-02-13
334,1,15.11,2022-03-16
435,1,8.55,2020-05-20
282,1,4.3,2020-05-05
155,1,14.98,2023-02-24
312,2,10.15,2024-08-11
37,2,12.2,2024-02-19
404,4,17.17,2021-07-17
151,4,14.95,2024-07-09
183,4,16.49,2023-09-27
295,4,13.72,2023-11-07
192,4,5.87,2020-07-07
188,2,15.13,2021-02-19
152,3,7.29,2021-10-31
79,2,18.6,2024-01-31
155,4,19.45,2021-02-15
82,3,11.01,2023-02-08
271,3,4.87,2025-02-15
220,2,15.97,2020-03-31
103,2,18.02,2020-08-17
89,2,12.54,2021-12-30
495,3,6.67,2025-04-25
432,3,5.3,2021-10-10
25,1,10.65,2025-04-20
451,3,3.3,2020-06-17
260,4,13.14,2023-04-24
319,3,18.57,2020-12-12
208,1,16.07,2022-10-23
48,1,13.74,2022-01-02
217,3,15.95,2022-09-28
419,1,10.31,2024-10-31
19,2,8.58,2022-04-25
460,3,5.72,2020-06-15
91,4,16.8,2021-10-04
275,3,6.58,2024-11-24
73,1,8.69,2022-09-25
94,1,6.12,2024-10-14
472,2,10.13,2020-02-10
148,1,14.44,2025-01-10
76,1,5.44,2020-02-26
181,3,2.99,2020-01-30
418,3,19.59,2020-03-29
377,1,6.42,2024-07-02
7,3,17.38,2022-01-27
422,4,13.44,2021-08-01
489,3,11.61,2025-01-13
225,4,4.63,2023-09-04
302,3,7.97,2022-11-23
221,3,18.81,2024-07-31
105,4,11.51,2020-07-29
483,4,11.12,2021-03-15
348,3,18.25,2025-09-05
12,2,9.33,2025-03-07
318,4,13.61,2020-07-20
450,2,8.44,2023-11-16
306,4,9.04,2022-01-30
384,2,11.88,2023-03-18
208,4,14.4,2023-09-22
388,2,4.52,2023-02-08
352,2,9.77,2024-08-01
310,4,12.46,2022-09-09
382,3,5.86,2024-02-18
152,1,7.08,2022-02-09
431,3,8.12,2020-10-10
217,2,7.11,2025-04-12
429,1,12.43,2020-08-18
85,1,17.32,2021-07-13
448,4,9.02,2022-03-14
408,1,16.46,2020-05-12
292,3,11.37,2023-06-07
279,3,5.09,2020-05-29
54,2,9.62,2023-05-07
390,4,19.47,2025-05-20
16,3,13.49,2025-05-10
325,4,16.88,2022-12-03
111,1,15.47,2025-10-08
257,3,12.46,2020-08-02
68,4,7.21,2021-05-07
219,1,6.8,2022-04-22
255,3,6.19,2023-02-01
347,3,6.16,2022-07-25
81,3,12.07,2024-09-13
480,2,13.17,2021-02-18
18,1,9.19,2023-10-09
280,1,18.08,2022-07-24
157,4,8.72,2024-08-19
366,3,8.63,2025-07-15
387,3,5.83,2024-03-01
70,1,12.07,2021-08-28
407,1,7.37,2024-11-21
317,2,17.96,2020-03-12
372,3,7.63,2020-06-25
129,2,17.39,2023-03-31
112,2,17.92,2023-12-21
456,1,14.9,2022-04-07
396,3,6.62,2022-02-23
160,4,3.68,2021-08-16
379,2,7.69,2025-02-15
483,1,6.53,2024-11-01
183,1,6.84,2025-01-30
412,1,3.62,2020-01-27
203,3,18.77,2021-01-28
263,4,11.9,2024-09-22
237,3,16.29,2024-03-01
394,2,12.91,2020-05-07
173,1,12.96,2023-10-01
164,4,8.01,2020-10-03
9,2,13.23,2020-08-18
246,1,6.89,2022-09-13
362,1,10.67,2022-04-23
191,3,6.81,2024-06-01
237,1,18.18,2021-09-14
313,2,11.25,2020-01-08
120,1,18.33,2021-06-26
327,4,8.88,2022-08-10
268,1,4.44,2022-08-29
246,2,6.19,2025-01-22
114,2,6.45,2023-08-09
256,3,5.17,2021-02-11
376,4,3.25,2024-07-31
367,2,9.34,2023-04-28
475,1,6.35,2022-09-13
367,3,10.53,2024-07-18
404,1,6.5,2025-02-26
243,4,4.49,2021-07-07
271,1,5.53,2020-09-09
164,1,3.22,2021-09-14
163,4,7.99,2022-10-13
456,2,15.85,2020-05-19
163,2,6.85,2023-11-14
399,4,18.14,2023-05-01
150,4,12.11,2021-01-07
334,4,10.46,2020-11-19
230,3,15.54,2020-12-25
319,4,15.53,2023-11-26
403,2,9.02,2023-08-10
473,2,12.1,2022-05-20
70,3,6.97,2022-07-20
225,2,15.9,2022-06-20
204,1,9.69,2024-01-16
433,3,18.96,2022-07-06
481,3,4.16,2020-02-17
209,2,15.89,2024-12-12
185,1,12.6,2025-02-08
233,1,11.89,2024-11-12
385,3,16.04,2020-05-20
197,1,5.01,2024-02-22
203,2,15.73,2023-02-19
211,2,5.96,2021-12-15
88,3,13.76,2024-02-05
169,2,18.03,2020-08-22
201,4,7.43,2022-01-15
412,2,10.47,2020-01-10
168,4,8.56,2020-12-16
45,4,7.69,2021-01-08
362,2,6.31,2024-11-24
475,3,16.54,2021-01-03
342,3,9.45,2024-06-10
